db_name,operation,count,total_time_micros,avg_time_micros,throughput_ops_per_sec
RocksDB,get,100,722,7.22,138504.15512465374
RocksDB,delete,10,177,17.7,56497.17514124294
RocksDB,range,10,436,43.6,22935.77981651376
RocksDB,put,1000,6041,6.041,165535.50736633007
RocksDB,get,100,565,5.65,176991.15044247787
RocksDB,delete,10,125,12.5,80000
RocksDB,range,10,366,36.6,27322.4043715847
RocksDB,put,1000,7370,7.37,135685.21031207597
RocksDB,get,100,677,6.77,147710.4874446086
RocksDB,delete,10,151,15.1,66225.16556291391
RocksDB,range,10,418,41.8,23923.444976076556
RocksDB,put,1000,5286,5.286,189178.96329928114
RocksDB,get,100,485,4.85,206185.56701030929
RocksDB,delete,10,106,10.6,94339.62264150944
RocksDB,range,10,331,33.1,30211.480362537764
RocksDB,put,1000,7937,7.937,125992.18848431397
RocksDB,get,100,744,7.44,134408.60215053763
RocksDB,delete,10,195,19.5,51282.05128205128
RocksDB,range,10,516,51.6,19379.84496124031
RocksDB,put,1000,6096,6.096,164041.99475065616
RocksDB,get,100,572,5.72,174825.17482517482
RocksDB,delete,10,122,12.2,81967.21311475411
RocksDB,range,10,348,34.8,28735.63218390805
RocksDB,put,1000,5609,5.609,178284.8992690319
RocksDB,get,100,519,5.19,192678.22736030826
RocksDB,delete,10,116,11.6,86206.89655172414
RocksDB,range,10,350,35,28571.428571428572
RocksDB,put,1000,7844,7.844,127485.9765425803
RocksDB,get,100,734,7.34,136239.78201634876
RocksDB,delete,10,156,15.6,64102.5641025641
RocksDB,range,10,444,44.4,22522.522522522522
RocksDB,put,1000,5982,5.982,167168.17118020728
RocksDB,get,100,557,5.57,179533.21364452422
RocksDB,delete,10,135,13.5,74074.07407407407
RocksDB,range,10,362,36.2,27624.30939226519
RocksDB,put,1000,6214,6.214,160926.939169617
RocksDB,get,100,569,5.69,175746.92442882247
RocksDB,delete,10,126,12.6,79365.07936507936
RocksDB,range,10,398,39.8,25125.62814070352
RocksDB,put,1000,7258,7.258,137779.00248002206
RocksDB,get,100,667,6.67,149925.03748125938
RocksDB,delete,10,148,14.8,67567.56756756756
